id,userName,score,content,reviewDate,thumbsUpCount,sentiment
158,M Ahmad,4,Its too good for chating friends and also we can describe our feelings for ever message.but one week point that it become useless till we not again update it after some months .It should be free for use without any updating.,2025-06-13 16:12:09,0,Positive
159,Neze Mercy,5,Best for business,2025-06-13 16:11:43,0,Positive
160,Alhassan Barkisu,2,incredible app,2025-06-13 16:11:39,0,Positive
161,Dik Dok,5,good service,2025-06-13 16:11:03,0,Positive
162,Thein Aung,5,Good,2025-06-13 16:10:23,0,Positive
163,Dynoo Anyoo,5,this app so fast and user friendly. this app also can use to contact family and others people. so far i was use in 5years above. always up to date this app. i love it.,2025-06-13 16:09:41,0,Positive
164,Dilshan Islamic,5,very worst app only for me because my account is banned without any reason,2025-06-13 16:09:02,1,Negative
165,Tochi Amadi,5,I love The app,2025-06-13 16:08:11,0,Positive
166,tarun rawat,4,good,2025-06-13 16:07:35,0,Positive
167,Dipla Thoda,5,very nice app in whatsApp,2025-06-13 16:07:13,0,Positive
168,Hariom das parkhi Hariom das parkhi,5,Good,2025-06-13 16:07:12,0,Positive
169,Innocent Boy,5,very nice 👍 app,2025-06-13 16:07:02,0,Positive
170,akgom,5,good,2025-06-13 16:06:54,0,Positive
171,Rahul Patel,5,Good 👍,2025-06-13 16:05:29,0,Positive
172,Mehdi Nayyeri,5,I really enjoy using wsths app and I can't live without!,2025-06-13 16:05:26,0,Positive
173,Pankaj Bhatt,5,very good,2025-06-13 16:03:31,0,Positive
174,chukwunonso nelson ezekafor,4,Good,2025-06-13 16:03:22,0,Positive
175,Roshani h Chaudhary,5,nice. app,2025-06-13 16:03:06,0,Positive
176,Israil Khan,5,this is very good,2025-06-13 16:02:34,0,Positive
177,One,5,this app very2 so so nice thanks plays store sukan😎,2025-06-13 16:01:07,0,Positive
178,Clinton Ayiku,5,WhatsApp is good,2025-06-13 16:01:03,0,Positive
179,nuvindu widanagamage,5,ඔබ copy කරන සෑම වාක්‍යයක්ම clip එකක් ලෙසින් මෙහි දිස්වෙයි. එම clips එබීමෙන් වාක්‍යයම එකවර ලිවිය හැක.,2025-06-13 16:00:57,0,Neutral
180,Subha deep Das,3,video calling stuck on oneplus 12R,2025-06-13 16:00:26,0,Neutral
181,zeba parveen,3,"everyone is tried but there is one problem, I have my own number on WhatsApp, but the name is not working, but I have drunk my own number, this is happened after the update. ???",2025-06-13 16:00:26,0,Positive
182,Pushon Hawladar,5,good,2025-06-13 16:00:23,0,Positive
183,Rahul Sharma,1,problem to open my WhatsApp,2025-06-13 16:00:06,0,Neutral
184,Younes Hamadou,5,wow,2025-06-13 15:59:48,0,Neutral
