userName,content,score,at,thumbsUpCount
Shubham Sabharwal,excellent service,5,2025-06-20 17:50:49,0
Anurag Mishra,its good,5,2025-06-20 17:45:27,0
Patel luftanja Travels,full camftabal best sarvis new nice work,5,2025-06-20 17:36:31,0
Rahul Raj,good,5,2025-06-20 17:28:10,0
Rakesh Gupta,nice apps for booking,5,2025-06-20 17:20:49,0
sandeep bhatere,ticket jitna dikhata h payment ke time usse jada paise leta h,1,2025-06-20 17:14:46,1
science classes,ok,5,2025-06-20 17:14:25,0
MALENDRA KUMAR,outstanding 😍,5,2025-06-20 17:13:00,0
sivateja kulukuri,very nice 👍🏻,5,2025-06-20 17:11:23,0
Bala Namakkal,ok,5,2025-06-20 17:10:20,0
Suneel Kumar,"worst app, not given any information about the bus cancellation by redbus team. and there is no way to call to customer care service. waited in the location for a long time. this is fraud app, don't use this application.",1,2025-06-20 17:07:58,1
JAGDISH TARWATE,ok,5,2025-06-20 16:57:14,0
Navin Gowda,Good 😊,5,2025-06-20 16:44:06,0
Arun Dhaundiyal,बहुत सुंदर,5,2025-06-20 16:39:45,0
Arjuna Tejus,good service,5,2025-06-20 16:37:24,0
Farman Shaikh,This app cannot be trusted. There is a lot of fraud on this app. I booked a ticket from UP Gonda to Mumbai Borivali East but the bus did not come and I did not even get my refund very very bad 😔😞,1,2025-06-20 16:36:29,1
Vikram Pandian,waste,1,2025-06-20 16:28:39,1
Arshak almas,good service,5,2025-06-20 16:11:22,0
Sc Kvf,nyc journey,5,2025-06-20 16:04:30,0
Satya Prakash Singh,ok,3,2025-06-20 16:00:57,0
NARESH KUMAR,most most recommended 👌,5,2025-06-20 15:59:58,0
surya renikuntla,good service,5,2025-06-20 15:48:57,0
Manop Hembrom,nice app,5,2025-06-20 15:43:46,0
larson dias,Dolphin bus excellent 👍,5,2025-06-20 15:34:22,0
Govind Kumar,good service,5,2025-06-20 15:33:47,0
Shiv Singh,"I booked a journey Gorakhpur to Thane Mumbai via redbus . The bus is betwani and they dropped us indore gautam travel and there are no proper assistance they told us there will an other bus dropped you destination but there will be nothing.Very terrible.Don't book bus via red bus either you maybe getting trouble. I contact with redbus costume care assist and gave a of this travel agency,I call them and he say you are in the office,I replied yes and they say talk the office person, I that done it",5,2025-06-20 15:32:25,0
Jaya Singh,great experience 😃,5,2025-06-20 15:26:33,0
Chirag “Raja” Patel,"Worst Experience, I booked a HK Travels bus from Ahmedabad to Indore bus delayed by 1.30 hour, when I called Red bus customer service, they told me wait more. I never recommend anyone to use Red Bus for their future travel. also Red bus wanted to drop a mail. Red bus not having any shame.",1,2025-06-20 15:23:16,1
Kishor Patil,good service 👍🏻,5,2025-06-20 15:13:07,0
Gulab Singh,good 👍,5,2025-06-20 15:12:42,0
